Rank,Fighter,Fights,Average Opponent Rating,Highest Rated Opponent
1,Eddie Alvarez,8,2918,Rafael dos Anjos (2016-07-07)
2,Daniel Cormier,12,2891,Jon Jones (2017-07-29)
3,Blagoy Ivanov,1,2888,Junior dos Santos (2018-07-14)
4,Luke Rockhold,9,2876,Chris Weidman (2015-12-12)
5,Stefan Sekulić,1,2851,Ramazan Emeev (2018-09-15)
6,Chris Weidman,13,2838,Anderson Silva (2013-07-06)
7,Yoel Romero,11,2837,Robert Whittaker (2018-06-09)
8,Jose Aldo,12,2830,Max Holloway (2017-12-02)
9,Tyron Woodley,12,2825,Robbie Lawler (2016-07-30)
10,Justin Gaethje,4,2807,Eddie Alvarez (2017-12-02)
11,Volkan Oezdemir,4,2799,Daniel Cormier (2018-01-20)
12,Gilbert Melendez,6,2790,Benson Henderson (2013-04-20)
13,Benson Henderson,14,2787,Donald Cerrone (2015-01-18)
14,Anthony Pettis,15,2784,Tony Ferguson (2018-10-06)
15,Carlo Pedersoli,1,2777,Alex Oliveira (2018-09-22)
16,Stipe Miocic,15,2773,Daniel Cormier (2018-07-07)
17,Ronaldo Souza,11,2773,Vitor Belfort (2016-05-14)
18,James Toney,1,2768,Randy Couture (2010-08-28)
19,Chael Sonnen,14,2761,Jon Jones (2013-04-27)
20,Jon Jones,18,2758,Daniel Cormier (2017-07-29)
21,Conor McGregor,11,2755,Jose Aldo (2015-12-12)
22,Alistair Overeem,14,2753,Stipe Miocic (2016-09-10)
23,Jin Soo Son,1,2748,Petr Yan (2018-09-15)
24,Marlon Moraes,4,2741,Jimmie Rivera (2018-06-01)
25,Junior dos Santos,17,2735,Stipe Miocic (2017-05-13)
26,Anderson Silva,22,2734,Daniel Cormier (2016-07-09)
27,Lyoto Machida,24,2733,Chris Weidman (2014-07-05)
28,Alexander Volkov,5,2732,Fabricio Werdum (2018-03-17)
29,Brock Lesnar,8,2731,Alistair Overeem (2011-12-30)
30,Carlos Condit,15,2724,Georges St-Pierre (2012-11-17)
31,Tonya Evinger,2,2723,Cris Cyborg (2017-07-29)
32,Daniel Teymur,2,2722,Danny Henry (2017-07-16)
33,Gegard Mousasi,12,2721,Chris Weidman (2017-04-08)
34,Luigi Vendramini,1,2721,Elizeu Zaleski dos Santos (2018-09-22)
35,Alexander Hernandez,2,2720,Beneil Dariush (2018-03-03)
36,Dan Henderson,18,2717,Michael Bisping (2016-10-08)
37,Cain Velasquez,14,2712,Fabricio Werdum (2015-06-13)
38,Fabricio Werdum,16,2703,Cain Velasquez (2015-06-13)
39,Kelvin Gastelum,14,2702,Michael Bisping (2017-11-25)
40,Mauricio Rua,18,2694,Lyoto Machida (2010-05-08)
41,Antonio Silva,11,2692,Cain Velasquez (2013-05-25)
42,Kevin Holland,1,2690,Thiago Santos (2018-08-04)
43,Jake Shields,8,2689,Georges St-Pierre (2011-04-30)
44,Frankie Edgar,24,2687,Benson Henderson (2012-08-11)
45,Tim Kennedy,5,2683,Kelvin Gastelum (2016-12-10)
46,Jalin Turner,1,2682,Vicente Luque (2018-10-06)
47,Dominick Cruz,6,2682,T.J. Dillashaw (2016-01-17)
48,Rory MacDonald,13,2679,Robbie Lawler (2015-07-11)
49,Khabib Nurmagomedov,11,2676,Conor McGregor (2018-10-06)
50,Ron van Clief,1,2673,Royce Gracie (1994-12-16)
51,Priscila Cachoeira,1,2670,Valentina Shevchenko (2018-02-03)
52,Montel Jackson,1,2670,Ricky Simon (2018-08-04)
53,Yana Kunitskaya,2,2669,Cris Cyborg (2018-03-03)
54,Alexander Gustafsson,14,2669,Jon Jones (2013-09-21)
55,Vitor Belfort,26,2665,Chris Weidman (2015-05-23)
56,Georges St-Pierre,22,2663,Michael Bisping (2017-11-04)
57,Glover Teixeira,15,2661,Jon Jones (2014-04-26)
58,Chad Mendes,13,2660,Jose Aldo (2014-10-25)
59,Rashad Evans,23,2652,Jon Jones (2012-04-21)
60,Mark Hunt,17,2649,Fabricio Werdum (2014-11-15)
61,Quinton Jackson,13,2647,Chuck Liddell (2007-05-26)
62,Tarec Saffiedine,6,2646,Rory MacDonald (2014-10-04)
63,Rafael dos Anjos,25,2644,Anthony Pettis (2015-03-14)
64,Antonio Rogerio Nogueira,11,2642,Ryan Bader (2016-11-19)
65,Chance Rencountre,1,2641,Belal Muhammad (2018-06-01)
66,Travis Browne,17,2640,Fabricio Werdum (2016-09-10)
67,Emil Weber Meek,3,2640,Kamaru Usman (2018-01-14)
68,John-Olav Einemo,2,2637,Dave Herman (2011-06-11)
69,Renzo Gracie,1,2637,Matt Hughes (2010-04-10)
70,Johny Hendricks,21,2634,Georges St-Pierre (2013-11-16)
